source_index,source_id,latitude,longitude,matched,pano_id,split
0,node/107763,51.5056213,-0.1267073,True,pano_0,train
1,node/107769,51.5069448,-0.1249151,True,pano_1,train
2,node/107770,51.5071998,-0.12757,True,pano_2,train
3,node/107771,51.5074002,-0.1272858,True,pano_3,train
4,node/107773,51.5075151,-0.1273552,True,pano_4,train
5,node/107774,51.5075476,-0.1278268,True,pano_5,train
6,node/107777,51.5058624,-0.130808,True,pano_6,train
7,node/107780,51.5079897,-0.126498,True,pano_7,train
8,node/107783,51.508569,-0.1272484,True,pano_8,validation
9,node/107785,51.5094654,-0.1274035,True,pano_9,test
10,node/107796,51.5072375,-0.132375,True,pano_10,train
11,node/107801,51.5095659,-0.131587,True,pano_11,test
12,node/109621,51.5084822,-0.1282345,True,pano_12,validation
13,node/109624,51.5093225,-0.1239675,True,pano_13,test
14,node/109625,51.5076387,-0.1311287,True,pano_14,train
15,node/109633,51.505944,-0.1255486,True,pano_15,train
16,node/109634,51.506257,-0.1243271,True,pano_16,train
17,node/8916246,51.5053418,-0.1297431,True,pano_17,train
18,node/9512922,51.5081584,-0.1297655,True,pano_18,train
19,node/9515387,51.5096291,-0.1233602,True,pano_19,test
20,node/10574748,51.5098659,-0.1280424,True,pano_20,test
21,node/10574749,51.5098269,-0.12545,True,pano_21,test
22,node/21665713,51.5099878,-0.1301036,True,pano_22,test
23,node/21665714,51.5094801,-0.1299537,True,pano_23,test
24,node/21665719,51.5098686,-0.1284458,True,pano_24,test
25,node/21665755,51.5075365,-0.1286039,True,pano_25,train
26,node/21665756,51.5075878,-0.1297436,True,pano_26,train
27,node/21665775,51.5089015,-0.1298313,True,pano_27,validation
28,node/21665859,51.5095379,-0.1285771,True,pano_28,test
29,node/21665863,51.5095876,-0.1284546,True,pano_29,test
30,node/25476020,51.5083794,-0.1243566,True,pano_30,train
31,node/25476042,51.5088225,-0.1241738,True,pano_31,validation
32,node/25476045,51.5085346,-0.1246355,True,pano_32,validation
33,node/25476047,51.5090727,-0.1244646,True,pano_33,test
34,node/25476049,51.5087827,-0.1250213,True,pano_34,validation
35,node/25476053,51.5078075,-0.1233542,True,pano_35,train
36,node/25504189,51.5075703,-0.1277102,True,pano_36,train
37,node/25504190,51.507289,-0.1280149,True,pano_37,train
38,node/25504191,51.5071626,-0.1277649,True,pano_38,train
39,node/25504193,51.507588,-0.125883,True,pano_39,train
40,node/25504194,51.5078316,-0.1255423,True,pano_40,train
41,node/25504195,51.5074882,-0.1248718,True,pano_41,train
42,node/25504196,51.5072345,-0.1253633,True,pano_42,train
43,node/25504197,51.507668,-0.1245913,True,pano_43,train
44,node/25504198,51.5081516,-0.1239403,True,pano_44,train
45,node/25504199,51.5070488,-0.1254736,True,pano_45,train
46,node/25504200,51.5067538,-0.1237567,True,pano_46,train
47,node/25504201,51.5071941,-0.1253816,True,pano_47,train
48,node/25504259,51.5066452,-0.1273065,True,pano_48,train
49,node/25504260,51.5067262,-0.1267308,True,pano_49,train
50,node/25504261,51.5066113,-0.1265543,True,pano_50,train
51,node/25504262,51.5061185,-0.1265116,True,pano_51,train
52,node/25504263,51.5062427,-0.126607,True,pano_52,train
53,node/25504421,51.506306,-0.1257722,True,pano_53,train
54,node/25507047,51.5064342,-0.1278709,True,pano_54,train
55,node/25507048,51.5063766,-0.1282894,True,pano_55,train
56,node/25533578,51.5102204,-0.1269146,True,pano_56,test
57,node/25544115,51.5095036,-0.1269406,True,pano_57,test
58,node/25544116,51.509714,-0.1268154,True,pano_58,test
59,node/25544119,51.5094899,-0.125896,True,pano_59,test
60,node/25544120,51.5091465,-0.1258783,True,pano_60,test
61,node/25607360,51.5063642,-0.1319366,True,pano_61,train
62,node/25607361,51.5058856,-0.1332886,True,pano_62,train
63,node/25620549,51.5074382,-0.1303056,True,pano_63,train
64,node/25620550,51.5071935,-0.1312149,True,pano_64,train
65,node/26559581,51.5088294,-0.1320508,True,pano_65,validation
66,node/26559582,51.5091536,-0.1311972,True,pano_66,test
67,node/26559624,51.5078684,-0.1272349,True,pano_67,train
68,node/26559655,51.5088238,-0.1302497,True,pano_68,validation
69,node/26573667,51.5079533,-0.1303096,True,pano_69,train
70,node/26573670,51.5079003,-0.1312218,True,pano_70,train
71,node/26573672,51.5083391,-0.1306264,True,pano_71,train
72,node/26573673,51.5088382,-0.1310441,True,pano_72,validation
73,node/26582694,51.5107424,-0.126945,True,pano_73,test
74,node/26630783,51.5057195,-0.1311686,True,pano_74,train
75,node/26630790,51.5070642,-0.129959,True,pano_75,train
76,node/26630791,51.5068305,-0.1297176,True,pano_76,train
77,node/26630792,51.5063949,-0.1294855,True,pano_77,train
78,node/26630793,51.5076949,-0.1308586,True,pano_78,train
79,node/26630839,51.507756,-0.1309656,True,pano_79,train
80,node/26671717,51.507446,-0.1279963,True,pano_80,train
81,node/26671718,51.507302,-0.1273415,True,pano_81,train
82,node/26671719,51.5072755,-0.1280063,True,pano_82,train
83,node/26671720,51.5075173,-0.1282271,True,pano_83,train
84,node/26671721,51.5076103,-0.1285892,True,pano_84,train
85,node/26671724,51.5075106,-0.1289998,True,pano_85,train
86,node/26671730,51.5071436,-0.129089,True,pano_86,train
87,node/26671733,51.5072494,-0.1299112,True,pano_87,train
88,node/26671734,51.5072879,-0.1302202,True,pano_88,train
89,node/28782063,51.5052828,-0.1311508,True,pano_89,train
90,node/28782067,51.5031309,-0.1342508,True,pano_90,train
91,node/78598323,51.5058716,-0.1313908,True,pano_91,train
92,node/130114397,51.5049272,-0.1310901,True,pano_92,train
93,node/130114398,51.5046913,-0.1310539,True,pano_93,train
94,node/256779298,51.5045799,-0.1322209,True,pano_94,train
95,node/256779299,51.5052385,-0.1312312,True,pano_95,train
96,node/256794566,51.5058569,-0.1268176,True,pano_96,train
97,node/256794570,51.507163,-0.1277374,True,pano_97,train
98,node/256794571,51.5072539,-0.127413,True,pano_98,train
99,node/256794572,51.5068505,-0.1273961,True,pano_99,train
100,node/256794574,51.5071318,-0.1274381,True,pano_100,train
101,node/256794575,51.5067509,-0.12799,True,pano_101,train
102,node/256794576,51.5070575,-0.1284367,True,pano_102,train
103,node/256794578,51.5069902,-0.1281008,True,pano_103,train
104,node/256794579,51.5070721,-0.1281427,True,pano_104,train
105,node/256794580,51.5071578,-0.1280581,True,pano_105,train
106,node/256794581,51.5070911,-0.1279341,True,pano_106,train
107,node/256794582,51.5074021,-0.1282547,True,pano_107,train
108,node/256794584,51.5073296,-0.127134,True,pano_108,train
109,node/256794588,51.5076753,-0.1273954,True,pano_109,train
110,node/256794589,51.5077347,-0.1272457,True,pano_110,train
111,node/256794590,51.5078235,-0.1271496,True,pano_111,train
112,node/256794592,51.5077491,-0.1270286,True,pano_112,train
113,node/256794593,51.5076831,-0.1270541,True,pano_113,train
114,node/256794594,51.5075715,-0.1271581,True,pano_114,train
115,node/339925031,51.5082922,-0.1292633,True,pano_115,train
116,node/339925126,51.5082444,-0.1285272,True,pano_116,train
117,node/339925185,51.5080845,-0.12692,True,pano_117,train
118,node/345863907,51.5062901,-0.1278101,True,pano_118,train
119,node/345863908,51.5061267,-0.1277481,True,pano_119,train
120,node/345881019,51.5048151,-0.1293292,True,pano_120,train
121,node/345881071,51.5046034,-0.1297278,True,pano_121,train
122,node/345881287,51.5050864,-0.1301949,True,pano_122,train
123,node/345881288,51.505797,-0.1309736,True,pano_123,train
124,node/345886002,51.5084571,-0.1244988,True,pano_124,validation
125,node/346333135,51.5087492,-0.1240457,True,pano_125,validation
126,node/346343907,51.5088959,-0.1242576,True,pano_126,validation
127,node/346349359,51.5069392,-0.1291819,True,pano_127,train
128,node/346349564,51.5068791,-0.1293577,True,pano_128,train
129,node/346350086,51.5064417,-0.1273607,True,pano_129,train
130,node/346359459,51.5061044,-0.1254194,True,pano_130,train
131,node/346359687,51.5060439,-0.1256552,True,pano_131,train
132,node/346359941,51.5064652,-0.1282167,True,pano_132,train
133,node/346430572,51.508488,-0.1250322,True,pano_133,validation
134,node/346430573,51.5082776,-0.1253925,True,pano_134,train
135,node/346430574,51.5084298,-0.1256548,True,pano_135,validation
136,node/348894359,51.5106094,-0.1269163,True,pano_136,test
