pano_id,latitude,longitude,rank,satellite,dy_px,dx_px,inside_640px_tile,distance_px
pano_0,51.505621,-0.126707,1,satellite_51.505571_-0.126317.png,-59.7,290.0,True,296.0812219645143
pano_0,51.505621,-0.126707,2,satellite_51.505571_-0.127175.png,-59.7,-348.0,False,353.0836869638698
pano_0,51.505621,-0.126707,3,satellite_51.506105_-0.126317.png,578.1,290.0,False,646.7608599784004
pano_0,51.505621,-0.126707,4,satellite_51.506105_-0.127175.png,578.1,-348.0,False,674.7618913364921
pano_1,51.506945,-0.124915,1,satellite_51.507174_-0.124600.png,273.6,234.2,True,360.1480251230041
pano_1,51.506945,-0.124915,2,satellite_51.506640_-0.124600.png,-364.3,234.2,False,433.08674650697867
pano_1,51.506945,-0.124915,3,satellite_51.507174_-0.125459.png,273.6,-404.5,False,488.34128434937793
pano_1,51.506945,-0.124915,4,satellite_51.506640_-0.125459.png,-364.3,-404.5,False,544.3663656031662
pano_10,51.507238,-0.132375,1,satellite_51.507174_-0.132325.png,-76.5,37.2,True,85.06521028011393
pano_10,51.507238,-0.132375,2,satellite_51.507708_-0.132325.png,561.4,37.2,False,562.6311402686488
pano_10,51.507238,-0.132375,3,satellite_51.507174_-0.133183.png,-76.5,-600.8,False,605.6507987281119
pano_10,51.507238,-0.132375,4,satellite_51.507174_-0.131467.png,-76.5,675.1,False,679.4205325128172
pano_100,51.507132,-0.127438,1,satellite_51.507174_-0.127175.png,50.2,195.5,True,201.84224037599265
pano_100,51.507132,-0.127438,2,satellite_51.507174_-0.128034.png,50.2,-443.1,False,445.93458040389737
pano_100,51.507132,-0.127438,3,satellite_51.506640_-0.127175.png,-587.7,195.5,False,619.3638187689043
pano_100,51.507132,-0.127438,4,satellite_51.507708_-0.127175.png,688.1,195.5,False,715.3333908045954
pano_1000,51.507378,-0.127673,1,satellite_51.507174_-0.128034.png,-243.7,-268.4,True,362.53034355761173
pano_1000,51.507378,-0.127673,2,satellite_51.507174_-0.127175.png,-243.7,370.3,False,443.2964922035815
pano_1000,51.507378,-0.127673,3,satellite_51.507708_-0.128034.png,394.2,-268.4,False,476.89852170037176
pano_1000,51.507378,-0.127673,4,satellite_51.507708_-0.127175.png,394.2,370.3,False,540.8472335142337
pano_1001,51.507379,-0.127639,1,satellite_51.507174_-0.128034.png,-244.9,-293.7,True,382.4077666575301
pano_1001,51.507379,-0.127639,2,satellite_51.507174_-0.127175.png,-244.9,345.0,False,423.08510964107444
pano_1001,51.507379,-0.127639,3,satellite_51.507708_-0.128034.png,393.0,-293.7,False,490.6207190896039
pano_1001,51.507379,-0.127639,4,satellite_51.507708_-0.127175.png,393.0,345.0,False,522.9474160945821
pano_1002,51.507379,-0.127654,1,satellite_51.507174_-0.128034.png,-244.9,-282.5,True,373.87465814093366
pano_1002,51.507379,-0.127654,2,satellite_51.507174_-0.127175.png,-244.9,356.1,False,432.1842431186033
pano_1002,51.507379,-0.127654,3,satellite_51.507708_-0.128034.png,393.0,-282.5,False,483.9992252059914
pano_1002,51.507379,-0.127654,4,satellite_51.507708_-0.127175.png,393.0,356.1,False,530.3359407017405
pano_1003,51.50769,-0.123147,1,satellite_51.507708_-0.122884.png,21.5,195.5,True,196.67867194996003
pano_1003,51.50769,-0.123147,2,satellite_51.507708_-0.123742.png,21.5,-442.4,False,442.9221263382537
pano_1003,51.50769,-0.123147,3,satellite_51.507174_-0.122884.png,-616.4,195.5,False,646.6600420622879
pano_1003,51.50769,-0.123147,4,satellite_51.508242_-0.122884.png,659.4,195.5,False,687.7707539580322
pano_1004,51.508649,-0.127832,1,satellite_51.508776_-0.128034.png,151.7,-150.2,True,213.47817218629166
pano_1004,51.508649,-0.127832,2,satellite_51.508242_-0.128034.png,-486.2,-150.2,False,508.87177166748006
pano_1004,51.508649,-0.127832,3,satellite_51.508776_-0.127175.png,151.7,488.5,False,511.5126000403118
pano_1004,51.508649,-0.127832,4,satellite_51.508242_-0.127175.png,-486.2,488.5,False,689.2188984640511
pano_1005,51.509213,-0.127509,1,satellite_51.509311_-0.127175.png,117.1,248.3,True,274.5274121103392
pano_1005,51.509213,-0.127509,2,satellite_51.509311_-0.128034.png,117.1,-390.3,False,407.48803663420597
pano_1005,51.509213,-0.127509,3,satellite_51.508776_-0.127175.png,-522.0,248.3,False,578.0457507844859
pano_1005,51.509213,-0.127509,4,satellite_51.508776_-0.128034.png,-522.0,-390.3,False,651.7807069866367
pano_1006,51.508629,-0.129755,1,satellite_51.508776_-0.129750.png,175.6,3.7,True,175.63897631220695
pano_1006,51.508629,-0.129755,2,satellite_51.508242_-0.129750.png,-462.3,3.7,False,462.3148061656689
pano_1006,51.508629,-0.129755,3,satellite_51.508776_-0.130608.png,175.6,-634.2,False,658.0615472735054
