w,h,angle
328.8626734632663,429.5073253394794,-2.1914327098340127
327.1092330063393,427.05451567960483,-2.191182775930267
325.35549460014425,424.5999927593531,-2.19087393885907
323.60163501055655,422.14369684871616,-2.1905062706242027
321.84783100345135,419.68556821768476,-2.1900798368477585
320.09425934470426,417.2255471362508,-2.189594696835013
318.3410968001905,414.7635738744055,-2.18905090364399
316.58852013578513,412.2995887021401,-2.1884485041588717
314.8367061173639,409.8335318894462,-2.1877875391681156
313.0858315108019,407.3653437063152,-2.187068043445804
311.33607308197423,404.89496442273804,-2.1862900458382737
309.58760759675675,402.422334308707,-2.1854535693541206
307.84061182102437,399.9473936342125,-2.1845586312592213
306.09526252065257,397.4700826692466,-2.1836052431753137
304.3517364615166,394.99034168380035,-2.182593411183798
302.6102104094919,392.5081109478655,-2.1815231359332126
300.8708611304538,390.0233307314332,-2.1803944127519634
299.1338653902775,387.53594130449477,-2.1792072317650226
297.3993999548383,385.04588293704165,-2.1779615780157138
295.6676415900117,382.5530958990654,-2.176657431592084
293.9387670616729,380.05752046055716,-2.17529476775814
292.21295313569726,377.55909689150843,-2.1738735570902135
290.4903765779601,375.05776546191083,-2.1723937656178425
288.77121415433663,372.55346644175523,-2.1708553549707044
287.0556426307024,370.0461401010335,-2.1692582825298676
285.3438387729326,367.53572670973693,-2.1676025015849554
283.6359793469026,365.02216653785683,-2.1658879614967965
281.93224111848764,362.5053998553845,-2.1641146078653923
280.2328008535632,359.98536693231165,-2.1622823827038684
278.5378353180045,357.4620080386294,-2.1603912246182007
276.8475212776868,354.93526344432905,-2.158441068992894
275.1620354984856,352.4050734194024,-2.1564318481827245
273.4815547462762,349.87137823384046,-2.154363491711118
271.8062557869336,347.33411815763486,-2.1522359264738604
270.1363153863335,344.79323346077666,-2.1500490769509604
268.47191031035123,342.24866441325787,-2.1478028654233823
266.81321732486185,339.7003512850692,-2.1454972121978706
265.1604131957408,337.1482343462024,-2.143132035837816
263.5136746888635,334.5922538666489,-2.1407072534018092
261.87317857010515,332.0323501164,-2.1382227806886784
260.23910160534115,329.46846336544695,-2.135678532490438
258.6116205604468,326.90053388378146,-2.133074422851944
256.9909122012975,324.3285019413946,-2.130410365338866
255.37715329376837,321.752307808278,-2.1276862733123156
253.77052060373498,319.171891754423,-2.124902060212089
252.17119089707248,316.5871940498209,-2.1220576398470454
250.57934093965628,313.9981549644631,-2.1191529266938347
248.9951474973617,311.4047147683411,-2.1161878362032907
247.41878733606399,308.80681373144625,-2.1131622851149703
245.85043722163857,306.20439212376994,-2.1100761917800255
244.29027391996073,303.5973902153035,-2.1069294764918682
242.73847419690574,300.9857482760384,-2.103722061825227
241.19521481834903,298.369406575966,-2.1004538729835467
239.66067255016583,295.74830538507774,-2.0971248381543104
238.13502415823154,293.12238497336494,-2.093734888872963
236.61844640842145,290.491585610819,-2.0902839603947236
235.11111606661086,287.8558475674314,-2.0867719920747274
233.61320989867517,285.2151111131934,-2.083198927756399
232.1249046704896,282.56931651809657,-2.0795647161674706
230.64637714792957,279.91840405213213,-2.0758693113245084
229.17780409687032,277.2623139852915,-2.0721126729447104
227.71936228318725,274.6009865875662,-2.068294766865717
226.27122847275567,271.9343621289475,-2.0644155654728453
224.83357943145086,269.26238087942676,-2.060475048133598
223.4065919251482,266.5849831089955,-2.0564732016392684
221.99044271972298,263.9021090876451,-2.052410020653393
220.5853085810505,261.21369908536684,-2.0482855081667912
219.19136627500617,258.51969337215223,-2.044099675958819
217.80879256746525,255.82003221799258,-2.03985254506447
216.43776422430304,253.1146558928793,-2.035544146247035
215.07845801139499,250.40350466680385,-2.0311745204760094
213.73105069461627,247.68651880975756,-2.0267437194092874
212.3957190398423,244.9636385917318,-2.022251805879992
211.07263981294838,242.23480428271802,-2.017698854386585
209.7619897798098,239.49995615270757,-2.013084951586223
208.46394570630196,236.7590344716919,-2.0084101967906607
207.17868435830013,234.01197950966235,-2.003674702463851
205.90638250167962,231.2587315366103,-1.9988785947207854
204.64721690231585,228.4992308225272,-1.9940220138269091
