w,h,angle
273.7159433789104,463.8503265404192,-1.729753543220757
273.015297794522,459.4797514117093,-1.6999939357458085
272.44820140061233,455.11482892499333,-1.671599444120782
272.00720211182926,450.7547993589921,-1.644665789841402
271.68484784282,446.3989029924256,-1.6192730160878097
271.4736865082321,442.0463801040147,-1.5954861890252898
271.36626602271326,437.69647097247986,-1.5733564823670119
271.35513430091095,433.34841587654154,-1.5529225327988243
271.4328392574728,429.0014550949204,-1.5342119598983448
271.5919288070462,424.6548289063369,-1.5172429566105714
271.8249508642788,420.3077775895114,-1.5020258723058235
272.12445334381806,415.9595414231646,-1.4885647275092728
272.4829841603115,411.6093606860168,-1.4768586157406312
272.8930912284069,407.2564756567889,-1.4669029623587717
273.34732246275155,402.9001266142011,-1.4586906222499822
273.838225777993,398.539553836974,-1.4522128074592082
274.35834908877894,394.17399760382824,-1.4474598425603604
274.9002403097567,389.80269819348416,-1.4444217500134924
275.456447355574,385.42489588466236,-1.4430886703700083
276.01951814087835,381.03983095608334,-1.4434511233914653
276.58200058031724,376.64674368646763,-1.4455001163755035
277.1364425885382,372.2448743545358,-1.449227105620829
277.67539208018883,367.8334632390082,-1.4546238163744258
278.19139696991664,363.4117506186056,-1.4616819261087093
278.6770051723691,358.9789767720483,-1.4703947398786308
279.1247541134111,354.53439143412777,-1.4814490896953956
279.52377594959347,350.0803143304569,-1.49658137087014
279.8549214600764,345.6265311901413,-1.5161787268554454
280.0978066399815,341.18394095105606,-1.5404378492382544
280.2320474844308,336.763442551077,-1.5696082942920186
280.2372599885459,332.3759349280793,-1.6039822340923162
280.0930601474487,328.03231701993843,-1.6438785026112415
279.7790639562608,323.74348776452985,-1.6896181869604185
279.27488741010427,319.52034609972907,-1.7414888210596562
278.56014650410066,315.37379096341124,-1.799694831239815
277.6144572333719,311.31472129345224,-1.86429397158894
276.4174355930398,307.35403602772715,-1.9339491173589447
274.9534344175045,303.5014684239424,-2.0028420872324078
273.2288567214531,299.76132545101376,-2.069094973792189
271.2565167426674,296.1363363516171,-2.1325360100778896
269.0492294305888,292.629230193298,-2.193094955858947
266.6198097346583,289.2427360436015,-2.2507872992947413
263.9810726043173,285.9795829700732,-2.305697099412993
261.1458329890069,282.8425000402582,-2.3579603851393753
258.1269058381682,279.8342163217019,-2.407750419416202
254.9371061012425,276.95746088194954,-2.455265462468547
251.58924872767093,274.21496278854653,-2.5007191781244833
248.09614866689472,271.60945110903816,-2.5443335223062995
244.470620868355,269.1436549109696,-2.5863337975292247
240.725480281493,266.8203032618863,-2.6269455058043913
236.87354185574983,264.64212522933343,-2.6663926439252514
232.92762054056683,262.6118498808564,-2.7048934129145565
228.90051162529787,260.73217888170706,-2.7422093174371143
224.80273721450672,259.0026455247898,-2.7775488929155614
220.64046028136931,257.41670733151483,-2.8108003398483836
216.41935065406048,255.9671344761878,-2.841966384111274
212.14507816075522,254.64669713311426,-2.8710666193026864
207.82331262962862,253.44816547659997,-2.898133313814539
203.45972388885542,252.36430968095036,-2.923207612849412
199.05998176661097,251.3878999204713,-2.946336198128481
194.62975609107,250.51170636946824,-2.967568417229739
190.1747166904075,249.7284992022469,-2.9869538592529667
185.70053339279863,249.03104859311293,-3.0045403314215906
181.21287602641817,248.4121247163718,-3.0203721793059
176.71741441944127,247.8644977463293,-3.0344888886738506
172.21981840004287,247.38093785729106,-3.046923907039604
167.7257577963979,246.95421522356273,-3.057703625810944
163.24090243668135,246.57710001944977,-3.066846468091847
158.77092214906827,246.24236241925797,-3.074362031680405
154.3214867617336,245.94277259729282,-3.0802502409946895
149.89826610285238,245.6711007278601,-3.084500465212189
145.5069300005995,245.42011698526545,-3.087090562709449
141.15314828315007,245.18259154381428,-3.0879858139963208
136.84259077867898,244.9512945778125,-3.087137707006282
132.58092731536124,244.71899626156556,-3.0844825402967952
128.37382772137187,244.47846676937914,-3.079939812188778
124.22696182488582,244.22247627555893,-3.0734103683439793
120.1459994540781,243.94379495441046,-3.0647742886096796
116.1366104371237,243.63519298023937,-3.0538885090378827
